emotion,context,response
question,كيف يمكنني التعامل مع الحزن؟,"بينما يفكر الكثير من الناس في الحزن من حيث فقدان شخص أو حيوان أليف ، يمكن أن يظهر الحزن كلما فقدت شيئًا مهمًا. يتضمن ذلك: فقدان الأمان ، مثل فقدان وظيفتك أو التساؤل عن المدة التي ستتمكن فيها من دفع الإيجار. فقدان الاستقرار أو الروتين ، مثل أن تجد نفسك تعمل من المنزل أو تتنقل في أماكن إغلاق رعاية الأطفال."
question,كيف أجد طبيبًا أو طبيبًا نفسيًا أو طبيبًا نفسيًا أو مستشارًا؟,"للعثور على طبيب أسرة (طبيب عام) ، قم بزيارة كلية الأطباء والجراحين في كولومبيا البريطانية لاستخدام أداة البحث عن طبيب. يمكنك أيضًا زيارة طبيب الأسرة في عيادة محلية ، على الرغم من أنه من المفيد العثور على طبيب منتظم إذا كان لديك احتياجات رعاية مستمرة."
question,كيف يمكنني رؤية طبيب نفسي؟,"إذا كنت لا ترى طبيب أسرة عادي ، يمكنك أن تطلب من أي طبيب في عيادة بدون موعد إحالتك. في بعض الحالات ، قد تكون قادرًا على ""الإحالة الذاتية"" أو تحديد موعد مع أحد برامج الصحة العقلية ، ولكن هذا قد لا يتيح لك الوصول إلى طبيب نفسي. اتصل بمركز الصحة العقلية المحلي لمعرفة ما هو متاح في منطقتك."
question,كيف يمكنني رؤية طبيب نفساني؟,"إذا كنت لا ترى طبيب أسرة عادي ، يمكنك أن تطلب من أي طبيب في عيادة بدون موعد إحالتك. في بعض الحالات ، قد تكون قادرًا على ""الإحالة الذاتية"" أو تحديد موعد مع أحد برامج الصحة العقلية ، ولكن هذا قد لا يتيح لك الوصول إلى طبيب نفسي. اتصل بمركز الصحة العقلية المحلي لمعرفة ما هو متاح في منطقتك."
question,كيف يمكنني رؤية مستشار؟,"قد تساعد المزايا الصحية الممتدة في مكان العمل أو برامج مساعدة الموظف (الأسرة) أو خطط التأمين الصحي الخاصة في تغطية بعض التكاليف. قد يقدم بعض المستشارين مقياسًا متدرجًا بناءً على دخلك. إذا كنت تواجه صعوبات مالية ، يمكنك أن تسأل عن موعد تحديد الموعد. تعرف على المزيد حول الخيارات منخفضة التكلفة للوصول إلى الاستشارة أو مراسلتنا عبر البريد الإلكتروني مع موقعك ويمكن لفريق المعلومات والإحالات لدينا معرفة الخيارات التي قد تكون موجودة في مجتمعك."
question,كيف أجد مجموعة دعم؟,"مجموعات الدعم هي وسيلة للأشخاص الذين لديهم خبرة مشتركة لمساعدة بعضهم البعض والتعلم من بعضهم البعض. هناك مجموعات دعم للأشخاص الذين يعانون من أي تجربة مرض عقلي ، ومجموعات دعم للأشخاص الذين لديهم تشخيص محدد ، ومجموعات دعم لأفراد الأسرة والأصدقاء ، وأكثر من ذلك."
question,أين يمكنني أن أجد خدمات الصحة النفسية للأطفال والشباب؟,"للعثور على مساعدة لطفل أو شاب ، يمكنك: شجع طفلك على التحدث إلى مدرس أو مستشار مدرسة تحدث إلى طبيب الأسرة أو طبيب الأطفال ، أو اذهب إلى عيادة بدون موعد ، اتصل بمكتب الصحة العقلية للأطفال والشباب المحلي على أحد في أيام دخولهم"
question,أين يمكن أن يجد كبار السن المساعدة فيما يتعلق بمخاوف الصحة العقلية؟,"تعد مخاوف الصحة العقلية مصدر قلق كبير في أي عمر ، ويستحق الجميع المساعدة والدعم. إذا كنت قلقًا بشأن صحتك العقلية ، فيمكنك: التحدث إلى طبيب الأسرة أو الذهاب إلى عيادة خارجية."
question,أين يمكنني أن أجد مواد المساعدة الذاتية للاكتئاب؟,"موارد المساعدة الذاتية ليست بديلاً عن التشخيص أو العلاج. إذا كانت لديك مخاوف بشأن الحالة المزاجية السيئة ، فمن الأفضل التحدث إلى طبيبك أولاً واستبعاد الأسباب الجسدية لأعراضك. ومع ذلك ، بمجرد مراجعة طبيبك ، يمكن أن تكون مواد المساعدة الذاتية طريقة رائعة لمعرفة المزيد عن الاكتئاب وممارسة مهارات مختلفة حسب وتيرتك الخاصة أو بين جلسات العلاج."
question,أين يمكنني أن أجد مواد المساعدة الذاتية للقلق؟,"موارد المساعدة الذاتية ليست بديلاً عن التشخيص أو العلاج. إذا كانت لديك مخاوف بشأن الحالة المزاجية السيئة ، فمن الأفضل التحدث إلى طبيبك أولاً واستبعاد الأسباب الجسدية لأعراضك. ومع ذلك ، بمجرد مراجعة طبيبك ، يمكن أن تكون مواد المساعدة الذاتية طريقة رائعة لمعرفة المزيد عن القلق وممارسة المهارات المختلفة وفقًا لسرعتك الخاصة أو بين جلسات العلاج."
question,أواجه صعوبة في التعامل مع مشكلة صحية جسدية. أين أجد المساعدة؟,يمكن أن يكون للصحة الجسدية تأثير كبير على الصحة العقلية! فيما يلي بعض الموارد لمساعدتك في التغلب على التحديات العاطفية للعيش مع مشكلة صحية مزمنة: تقدم الإدارة الذاتية في كولومبيا البريطانية برامج مجانية للبالغين من جميع الأعمار الذين يعانون من أي مشاكل صحية جسدية أو عقلية مستمرة.
question,متى يكون تعاطي المخدرات مشكلة؟ أين يمكنني أن أذهب للحصول على المساعدة؟,"كل شخص لديه علاقة مختلفة مع مواد مثل الكحول والمخدرات الأخرى ، ويستخدم الناس المواد لأسباب مختلفة. ما هو مفيد للبعض قد يسبب مشاكل للآخرين ، أو لنفس الشخص في مواقف مختلفة."
question,أين يمكنني أن أجد استشارات مجانية أو منخفضة التكلفة؟,قد يتم تغطية خدمات الصحة العقلية مثل الاستشارة أو العلاج من خلال خطة الخدمات الطبية في كولومبيا البريطانية (MSP) عندما تصل إلى الخدمة من خلال مستشفى أو عيادة للصحة العقلية. ابحث عن السلطة الصحية المحلية لمعرفة المزيد عن خدمات الاستشارة في منطقتك.
question,هل يمكنني الحصول على مساعدة في دفع ثمن الأدوية الموصوفة؟,"يجب على طبيبك أو ممرضك الممارس التقدم بطلب للحصول على تغطيتك نيابة عنك. عادة ما تستمر التغطية لمدة عام واحد ، وبعد ذلك يمكنك إعادة التقديم إذا لزم الأمر."
question,كيف يمكنني الدفع مقابل رعاية الصحة العقلية؟,"غالبًا ما يتم تغطية خدمات الصحة العقلية المقدمة من خلال النظام (""العام"") الذي تديره الحكومة ، مثل الخدمات التي تتلقاها من خلال مركز أو فريق الصحة العقلية المحلي ، والطب النفسي للمرضى الخارجيين في المستشفى"
question,ما الفرق بين طبيب نفسي وطبيب نفسي مسجل؟,"الطبيب النفسي هو طبيب حاصل على تدريب إضافي في مجال الصحة العقلية ويمكنه اختيار وصف الأدوية. يستخدم البعض أساليب العلاج النفسي (""العلاجات الكلامية"") مثل العلاج السلوكي المعرفي لعلاج مشاكل الصحة العقلية. يركز اختصاصي علم النفس المسجل على طرق العلاج بالكلام أو الاستشارة المختلفة ، لكنه لا يصف الأدوية. لديهم شهادات عليا في علم النفس"
question,ما الفرق بين العلاج النفسي والاستشارة؟,"يشترك العلاج النفسي والاستشارة في الكثير من الأمور وعادة ما تعني نفس الشيء. يستخدم كلاهما لوصف المهنيين الذين يستخدمون الأساليب القائمة على الحديث لمساعدة شخص ما على التعافي من مرض عقلي أو مشكلة في الصحة العقلية. قد يقدم العديد من المهنيين المختلفين المشورة أو العلاج النفسي ، بما في ذلك علماء النفس المسجلين والمستشارين السريريين المسجلين والأطباء النفسيين والمعالجين والمستشارين الآخرين وأطباء الأسرة والممرضات النفسيين والقادة الدينيين."
question,ما الفرق بين CBT و DBT؟,"CBT (العلاج السلوكي المعرفي) و DBT (العلاج السلوكي الجدلي) هما شكلان من أشكال العلاج النفسي أو ""العلاج بالكلام"". في كليهما ، أنت تعمل مع أخصائي الصحة العقلية لمعرفة المزيد عن التحديات التي تواجهها وتعلم المهارات لمساعدتك في إدارة التحديات بنفسك. يعلمك العلاج السلوكي المعرفي أو العلاج المعرفي السلوكي كيف تؤثر أفكارك ومشاعرك وسلوكياتك على بعضها البعض. على سبيل المثال ، إذا كنت تعتقد أن الناس لا يحبونك (فكرت) ، فقد تتجنب المواقف الاجتماعية (السلوك) وتشعر بالوحدة (الشعور). ومع ذلك ، يعلمك العلاج السلوكي المعرفي كيفية استخدام هذه العلاقات لصالحك: التغيير الإيجابي في عامل واحد (تغيير الفكر أو السلوك) يمكن أن يؤدي إلى تغييرات إيجابية في جميع العوامل. العلاج المعرفي السلوكي هو نهج ثبت من خلال الأبحاث أنه يعمل مع العديد من مشاكل الصحة العقلية المختلفة ، بما في ذلك الاكتئاب واضطرابات القلق واضطرابات الأكل ومشاكل تعاطي المخدرات. يعتمد العلاج السلوكي الجدلي أو DBT على العلاج المعرفي السلوكي ، مع التركيز بشكل أكبر على الجوانب العاطفية والاجتماعية. تم تطوير DBT لمساعدة الناس على التعامل مع المشاعر المتطرفة أو غير المستقرة والسلوكيات الضارة. DBT هو نهج قائم على الأدلة لمساعدة الناس على تنظيم العواطف. لقد بدأ كعلاج لاضطراب الشخصية الحدية ، وتظهر الأبحاث الحالية أنه قد يساعد في العديد من الأمراض أو المخاوف العقلية المختلفة ، لا سيما إيذاء النفس. الاختلافات الرئيسية بين CBT و DBT هي التحقق من الصحة والعلاقات."
question,ما الفرق بين مضادات الاكتئاب؟,"هناك العديد من الأنواع المختلفة من الأدوية المضادة للاكتئاب ، ويعمل كل منها بطرق مختلفة. تنقسم مضادات الاكتئاب إلى ""فئات"" بناءً على ما تفعله وأي نواقل كيميائية في الدماغ (تسمى الناقلات العصبية) يُعتقد أنها تؤثر عليها. قد تحتوي كل فئة على عدة أدوية مختلفة ، لكل منها طرق مختلفة قليلاً في العمل"
question,تلقيت تشخيصًا لكنني لا أعتقد أنه صحيح. ماذا بإمكاني أن أفعل؟,"إذا أمكن ، تحدث عن مخاوفك مع الأخصائي الذي قدم التشخيص. بهذه الطريقة ، يمكن للمحترف الإجابة على أسئلتك ويمكنك فهم قرارهم بشكل أفضل. إذا لم يؤد ذلك إلى حل الموقف أو كان موعد المتابعة غير ممكن ، فيمكنك طلب رأي ثان. الرأي الثاني هو تقييم من محترف مختلف. يمكن أن يمنحك هذا فهمًا أفضل لما يحدث وماذا تفعل حيال ذلك."
question,لقد وصفت لي مضادات الاكتئاب أو غيرها من الأدوية النفسية ولكن لا أعتقد أنها تعمل. ماذا بإمكاني أن أفعل؟,"إذا كنت قلقًا بشأن أدويتك ، فمن المهم التحدث مع الطبيب أو الطبيب النفسي الذي وصف أدويتك. على الرغم من أن الأمر قد يستغرق بضعة أسابيع حتى ترى تحسنًا حقيقيًا مع العديد من مضادات الاكتئاب ، إلا أنه لا يزال من الجيد التحدث مع طبيبك حول ما يمكن توقعه. تحدث إلى الطبيب الذي وصف لك الدواء إذا كنت تعاني من أعراض أو آثار جانبية تزعجك"
question,شخص بالغ في حياتي يبدو مريضًا ولن يجد المساعدة. ماذا بإمكاني أن أفعل؟,"يكون الأمر صعبًا عندما يكافح طفل بالغ ، أو شقيق ، أو أحد الوالدين ، أو صديق ، أو زميل في العمل ، أو أي شخص مهم آخر ، أو يتصرف بطرق تسبب الأذى. قد يكون هذا موقفًا صعبًا - فأنت تريد المساعدة ، لكن معظم البالغين مسؤولون عن رعايتهم. هناك نقطتان مهمتان يجب التفكير فيهما. أولاً ، قد يكون تشخيص حالة صحية أمرًا خطيرًا ، خاصةً عندما يكون التحقق من الأعراض أمرًا سهلاً عبر الإنترنت. لا يزال من الأفضل دائمًا ترك التشخيص للمهنيين الذين يمكنهم إلقاء نظرة على الصورة الكاملة. تذكر أيضًا أن الشخص الذي تهتم به قد يكون لديه فكرة مختلفة تمامًا عن سبب الصعوبات التي يواجهها وما هي الآثار السلبية على حياته."
question,أنا قلق على طفلي أو ابني المراهق. أين أجد المساعدة؟,"قد يكون من الصعب معرفة ما يجب فعله إذا كنت قلقًا بشأن شاب في عائلتك. يبدأ الكثير من الناس بالتحدث مع طبيب الأسرة. إذا لم يكن لديك طبيب أسرة ، يمكنك العثور على طبيب من خلال كلية الأطباء والجراحين في كولومبيا البريطانية. يمكنك أيضًا زيارة العيادة الخارجية. اعتمادًا على الموقف ، قد يقدم لك طبيب الأسرة كل ما تحتاجه. إذا كان طفلك بحاجة إلى المزيد من الخدمات المتخصصة ، مثل خدمات الطب النفسي ، فإن طبيب الأسرة يحتاج إلى إحالة طفلك."
question,شخص ما أهتم به يعاني من إصابة في الدماغ. أين أجد المزيد من المعلومات؟,"لا تعد إصابة الدماغ نفسها مثل المرض العقلي ، على الرغم من أن الشخص الذي يعاني من إصابة في الدماغ قد يعاني أيضًا من مشاكل في الصحة العقلية. قد تنجم مشاكل الصحة العقلية هذه عن الإصابة نفسها أو من الأفكار حول الإصابة (مثل الشعور بالفقد أو الغضب أو الإحباط عندما تتغير نوعية الحياة). في بعض الحالات ، قد لا تكون تحديات الصحة العقلية مرتبطة بإصابة الدماغ على الإطلاق. الخبر السار هو أن مشاكل الصحة العقلية يمكن علاجها ، حتى لو تعرضت أنت أو أي شخص تهتم لأمره لإصابة في الدماغ. قد يكون من المفيد العثور على مقدم خدمة على دراية بكل من إصابات الدماغ والصحة العقلية"
question,شخص أحبه تم تشخيصه بالاكتئاب. كيف يمكنني أن أقدم المساعدة؟,"نريد بطبيعة الحال مساعدة أحد الأحباء الذي لا يشعر على ما يرام. كيف يمكننا المساعدة أو ينبغي أن تبدو واضحة إلى حد ما عندما يعاني أحد أفراد أسرتنا من مشكلة صحية جسدية ، لكن العديد من الناس يقولون إنهم ليسوا متأكدين من أفضل طريقة لتقديم المساعدة عندما يعاني أحد أفراد أسرته من مرض عقلي مثل الاكتئاب. إليك بعض النصائح: ليس عليك أن تفهم بالضبط ما يمر به شخص آخر ، ما عليك سوى إدراك أنها تجربة صعبة. يمكنك تجربة شيء مثل ، ""أستطيع أن أرى أن هذه التجربة أو هذه الأعراض مؤلمة حقًا لك"" ، أو ""يؤسفني سماع أنك لست على ما يرام."" إذا كنت قد عانيت من الاكتئاب بنفسك ، فيمكنك أن تقول ، ""أنا أعرف ما تشعر به"". فقط تذكر أن كل شخص يعاني من أمراض مثل الاكتئاب بشكل مختلف ، والتعاطف يتعلق بمعرفة تأثير المرض ، وليس مقارنة الأعراض."
question,شخص أحبه تم تشخيصه بالفصام. كيف يمكنني أن أقدم المساعدة؟,"نريد بطبيعة الحال مساعدة أحد الأحباء الذي لا يشعر على ما يرام. كيف يمكننا المساعدة أو ينبغي أن تبدو واضحة إلى حد ما عندما يعاني أحد الأحباء من مشكلة صحية جسدية ، لكن العديد من الناس يقولون إنهم ليسوا متأكدين من أفضل طريقة لتقديم المساعدة عندما يعاني أحد أفراد أسرته من مرض عقلي مثل الفصام. إليك بعض النصائح: ليس عليك أن تكون خبيرًا في مرض انفصام الشخصية ، ولكن معرفة المزيد يمكن أن يساعدك في فهم ما يحدث. هناك الكثير من الخرافات حول مرض انفصام الشخصية ، لذلك من الجيد العثور على بعض الموارد الجديرة بالثقة. تُعد ورقة معلومات الفصام الخاصة بنا مكانًا رائعًا للبدء."
question,ما الفرق بين اضطراب الهوية الانفصامي (اضطراب الشخصية المتعددة) والفصام؟,"في بعض الأحيان ، يخلط الناس بين اضطراب الهوية الانفصامي ، المعروف سابقًا باسم اضطراب الشخصية المتعددة ، والفصام. لا يعني الفصام ""انقسام العقل"" ، ولكن كان المقصود من الاسم وصف ""الانقسام"" عن الواقع الذي تشعر به أثناء نوبة من الذهان ، بالإضافة إلى التغيرات في الأفكار والعواطف والوظائف الأخرى. من ناحية أخرى ، يتسبب اضطراب الهوية الانفصامي في حدوث انقسام أو تجزئة في فهم إحساس الشخص بنفسه. يتعلق اضطراب الهوية الانفصامي في الحقيقة بالهويات المجزأة أكثر من العديد من الشخصيات المختلفة التي تتطور من تلقاء نفسها."
question,ما الفرق بين الذهان والفصام؟,"الذهان هو متلازمة أو مجموعة من الأعراض. الشخص الذي يعاني من نوبة ذهان هو ""قطيعة"" مع الواقع. الأعراض الرئيسية للذهان هي الهلوسة والأوهام. الهلوسة هي أحاسيس غير حقيقية ، مثل سماع أصوات أو أصوات غير حقيقية. سماع الأصوات هو هلوسة شائعة ، لكن الهلوسة يمكن أن تكون تجارب بأي حاسة - السمع أو البصر أو الشم أو التذوق أو اللمس. الأوهام هي معتقدات قوية لا يمكن أن تكون صحيحة."
question,ما هي الأعراض الإيجابية والسلبية؟,"الأعراض الإيجابية والسلبية هي مصطلحات طبية لمجموعتين من أعراض الفصام. تضيف الأعراض الإيجابية. تشمل الأعراض الإيجابية الهلوسة (الأحاسيس غير الحقيقية) والأوهام (المعتقدات التي لا يمكن أن تكون حقيقية) والحركات المتكررة التي يصعب السيطرة عليها. تسلب الأعراض السلبية. تشمل الأعراض السلبية عدم القدرة على إظهار المشاعر واللامبالاة وصعوبة التحدث والانسحاب من المواقف والعلاقات الاجتماعية. هناك أيضًا مجموعة ثالثة من الأعراض ، تسمى عادةً الأعراض المعرفية. وهذا يشمل أي شيء متعلق بالتفكير ، مثل الأفكار غير المنظمة ، ومشاكل الذاكرة ، وصعوبات التركيز والانتباه."
question,ما هو Prodrome,"Prodrome هو مصطلح طبي للعلامات أو الأعراض المبكرة لمرض أو مشكلة صحية تظهر قبل ظهور العلامات أو الأعراض الرئيسية. الذهان ، وهو مجموعة من الأعراض الموجودة في اضطرابات مثل الفصام ، هو مرض له بداية معينة. مع الذهان ، تبدأ العلامات والأعراض البادئة قبل ظهور الأعراض الكاملة مثل الهلوسة والأوهام. تشمل الأعراض الشائعة في مقدمة الذهان ما يلي: توجد هذه الأعراض في العديد من الأمراض العقلية الأخرى ، لذلك ليس من الواضح دائمًا في ذلك الوقت ما إذا كانت هذه مقدمة من الذهان أو الفصام أو أي شيء آخر. من الأفضل طلب المساعدة عندما تكون قلقًا بشأن صحتك العقلية أو الصحة العقلية لأحبائك. من الأسهل بكثير إدارة وعلاج الذهان والفصام عندما يبدأ العلاج مبكرًا."
question,أنا شخص بالغ وأعتقد أنني مصاب باضطراب فرط الحركة ونقص الانتباه. ماذا يمكنني أن أفعل بعد ذلك؟,"بينما نفكر في اضطراب نقص الانتباه / فرط النشاط على أنه مرض يصيب الأطفال ، يمكن أن يستمر حتى مرحلة البلوغ - ولا يتم تشخيص بعض الأشخاص إلا بعد فترة طويلة في الحياة. يتم تشخيص اضطراب فرط الحركة ونقص الانتباه مثل أي مرض عقلي آخر ، لذا فإن طبيب الأسرة هو مكان جيد للبدء."
question,ما الفرق بين تعاطي المخدرات والإدمان؟,"يميل الناس إلى استخدام كلمة ""إدمان"" لتعني أشياء مختلفة جدًا. قد تعني عبارة ""أنا مدمن على التسوق"" فقط أن المتحدث يحب التسوق. من ناحية أخرى ، قد تعني عبارة ""هو مدمن"" أن المتحدث يعتقد أن الشخص الآخر غير قادر تمامًا على التحكم في سلوكه. عندما يستخدم الناس كلمة عن المواد ذات التأثير النفساني (التي تغير العقل) مثل الكحول أو التبغ أو غيره من العقاقير ، فإنهم غالبًا ما يفترضون أن هذه العقاقير خطيرة ولديها القدرة على التحكم في السلوك البشري."
question,كيف يمكنني الحصول على مساعدة لحل مشكلة تعاطي الكحول أو المخدرات؟,"تسعى لإجراء تغييرات في طريقة استخدامك للمواد مثل الكحول أو المخدرات الأخرى؟ يمكن أن تكون هذه خطوة مهمة! يستطيع بعض الأشخاص تقليل استخدامهم للمواد المخدرة أو الإقلاع عنها تمامًا بمفردهم أو باستخدام مواد المساعدة الذاتية. لكن معظمنا يحتاج إلى دعم من أشخاص آخرين - أفراد الأسرة ، والأصدقاء ، والمهنيين الصحيين ، أو غيرهم من الأشخاص الذين يعانون من مشاكل تعاطي المخدرات. المساعدة المناسبة لك تعتمد على العديد من العوامل. وتشمل هذه نوع الدواء الذي تستخدمه ، وكميته وكم مرة ، ووضعك الصحي والاجتماعي ، وبالطبع تفضيلاتك الخاصة. الحصول على المساعدة لا يعني التخلي عن السيطرة على تشكيل مسارك. أنت لا تزال الشخص الذي يتخذ القرارات النهائية بشأن نوع ودرجة التغيير الذي تقوم به."
question,كيف أقنع أطفالي بعدم تعاطي المخدرات؟,"لا يمكنك. لكن يمكنك التأثير على قدرتهم على اتخاذ خيارات جيدة في عالم يتوفر فيه الكحول والمخدرات الأخرى. يتعلق الأمر بمساعدة طفلك على تطوير المهارات لتقييم ما قد يكون مفيدًا في تحقيق أهدافه في الحياة. يتعلق الأمر أيضًا بتغذية علاقة داعمة ، حتى يعرفوا إلى أين يذهبون مع الأسئلة أو المشاكل. يمكن أن يساعد فتح مناقشة حول الأدوية في تقوية علاقتك بطفلك. إن الدعوة والسماح بإجراء محادثة مفتوحة وصادقة حول المخدرات (أو أي موضوع آخر) تجعل طفلك يعرف أن ما يفكر فيه ويشعر به ويختبره يهمك. الهدف هو جعل طفلك يتحدث ويشارك أفكاره ومشاعره."
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,ربما يكون مشغولاً للغاية اليوم ويحتاج إلى التركيز على مهامه.
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"هناك العديد من الأسباب لعدم اتصال زوج هيلين بها. يمكن أن يكون قد قضى يومًا حافلًا بالجنون في العمل أو أنه نسي هاتفه أو فقده في مكان ما. أيضًا لمجرد أن زوجها لم يتصل بها بعد ، فهذا لا يعني أنه غاضب منها. قد يكون في موقف لم يتمكن من الاتصال بها بعد. قد يتصل بها فيما بعد عندما يجد الزمان والمكان."
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"أولاً ، كل هذا يتوقف على الموقف: إذا كان كل شيء يسير على ما يرام بينهما ، فعليها فقط التفكير في أنه مشغول جدًا بالعمل ، مع واجبات الأطفال المنزلية ، مع أصدقائه ، ومساعدة والديه ، فهو في الفصل ، مشغول أيضًا عالمه الخاص (القراءة ، الاستماع إلى الموسيقى ، الرقص ، إلخ) يجب أن تفكر: أنا سعيد لأنه مشغول بشيء آخر ، سوف يتصل بي عندما يكون حراً وبدون أي خطر (عبور الطريق ، في المنتصف) اجتماع أو قيادة أو أثناء مشاهدة الأطفال ، إلخ)"
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"حسنًا ، يبدو أن زوجي مستاء لكني لم أفعل له شيئًا. ربما كان قد مر يومًا سيئًا في العمل ، أو ربما كان هناك شيء ما يزعجه. من الأفضل التحدث معه للتحقق من ذلك."
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"حقيقة أنه لم يتصل لا تعني بأي حال أنه غاضب. قد يكون مشغولاً (العمل ، التقى بشخص ما) ، لديه هاتف بدون بطارية أو قد يكون في منطقة لا يوجد بها إشارة هاتف. بدلاً من القلق ، قد يفكر المرء في الاتصال به بدلاً من ذلك."
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"ربما يكون مشغولا بالعمل. ما لم يكن لديك جدال ، فهل هناك سبب لغضبه؟"
sadness,زوج هيلين لم يتصل بها بعد اليوم. إنه غاضب مني.,"لم يكن لدينا أي جدال الليلة الماضية أو هذا الصباح ولم نشارك في الغضب أو الإحباط هذا الصباح. لا يوجد سبب لماذا يغضب مني. من الأرجح أن شيئًا ما في العمل يبقيه مشغولًا تمامًا وإذا كان منزعجًا بالفعل ، فهو منزعج من العمل أو أي شيء مرتبط به. إذا لم يتصل ، فربما لأنه ليس لديه دقيقة واحدة لنفسه وأنا أعلم أنه لا يحب الاتصال بي عندما يكون غاضبًا من أشياء من العمل لأنه يخاطر بالهدر في وجهي دون سبب. أيضًا ، بينما يتصل بي عادةً من العمل ، لم يكن لدينا موعد أو أي شيء من هذا القبيل ، لذلك ، لم يكن مضطرًا إلى الاتصال لإلغاء أي شيء أيضًا."
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,إذا لم تحدث مشاجرات يمكنني أن أفترض أنني لست أفضل ولا أسوأ من البارحة. ربما يمكنني أن أعطيه خاتمًا بدلاً من ذلك خلال وقت أعرف أنه ليس مشغولاً للغاية.
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,"لكي لا تكوني زوجة صالحة ، عليك أن تكوني فظيعة للغاية مع زوجك. هيلين منزعجة ولا تستطيع رؤية سوى السلبيات فيها. يمكن أن تكون زوجة عظيمة في معظم الأوقات وقد تكون قد ارتكبت خطأ أو خطأين. هذا لا يجعلها زوجة صالحة. لا يوجد على مثالي ولا بأس في ارتكاب الأخطاء لأنه كيف نتعلم أن نكون أفضل. يجب أن تنظر هيلين إلى الصورة الكبيرة لكيفية كونها زوجة بدلاً من التركيز فقط على حالة أو حالتين سلبيتين."
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,أنا أبذل قصارى جهدي حتى لا يغضب مني. يمكنني أن أتحدث معه لاحقًا حول سبب عدم رده علي وأرى كيف يمكننا تحسين التواصل في المستقبل حتى نتجنب سوء الفهم والقلق.
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,زوجي لا يتصل بي اليوم من العمل. لابد أنه مشغول للغاية في العمل. سوف أرسل رسالة نصية لأرى كيف يفعل.
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,"كونك زوجة صالحة أمر يتعلق بالحياة اليومية ، فإن قلقها يظهر أنها تهتم به ، لذلك من المحتمل أن تكون زوجة صالحة. يمكن أن يكون لعدم دعوته أسباب كثيرة ولا علاقة لها بعلاقتهم. يظهر محنتها أنها تفتقد الثقة في نفسها ، بدلاً من إنشاء سيناريوهات مختلفة ، قد تحاول الاتصال به بدلاً من ذلك."
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,تزوج من شخص مثله بمشاعر وعواطف. يعرف نقاط ضعفك وقوتك ويتزوجك على أي حال
sadness,زوج هيلين لم يتصل بها بعد اليوم. أنا لست زوجة صالحة.,"أنا حزين لأنه لم يتصل بي ، لأنني أحب أن أسمعه ، أحب عندما نتحدث وأشعر بالقلق من إزعاجه في العمل. أنا أعرف كل ذلك. لكن عمله ولا يتحكم في كل الأشياء التي تأتي في طريقه إلى هناك ولذا فهو غير قادر على الاتصال الآن. أعلم أنه عادة ما يتصل بالاتصال ، - لذلك ، من الواضح أن عدم الاتصال اليوم هو علامة على أنه متوتر كثيرًا في العمل ، - إذا كان بإمكانه ذلك ، فسيتصل به لأنه يعلم أنني في انتظاره. إنه لا يفعل ذلك عمدًا ، فهو رجل صالح ولكنه ليس مثاليًا. وهذا ليس ضروريًا لأنني لست كذلك أنا. ربما نسي فقط شحن الهاتف ، كما فعلت من قبل وتسبب له في الكثير من القلق. نحن لسنا مثاليين ولكننا مناسبون تمامًا لبعضنا البعض."
nervous,"أنت طبيب نفسي في جامعة بنسلفانيا. أنت تحاول مراجعة مخطوطتك عن الاكتئاب بعد مقابلة محررك في نيويورك. على الرغم من أن محررك بدا متحمسًا للغاية ، إلا أنك لاحظت أنك تشعر بالتوتر وعدم كفاية بسبب أفكارك. لقد ارتكبوا خطأ فادحًا عندما اختاروا كتابي! لن أكون قادرًا على القيام بعمل جيد.","ابتسم لي المحرر على الفور وجعلني أشعر بالراحة. لقد بدا متحمسًا حقًا للكتاب وأنا بحاجة لأن أؤمن أكثر بنفسي. التعبيرات الموجودة على وجهه حقيقية وقد ناقش بالفعل عدد النسخ التي يريد إطلاقها في شهرين ، وهذه علامة إيجابية للغاية. إنه دائمًا مستجيب جدًا للنصوص ورسائل البريد الإلكتروني الخاصة بي."
